%MEM   RSS
84.0 2506392
%MEM   RSS
84.8 2531076
%MEM   RSS
85.1 2541096
%MEM   RSS
84.7 2528200
%MEM   RSS
85.2 2543360
%MEM   RSS
85.0 2537876
%MEM   RSS
85.0 2537376
%MEM   RSS
85.5 2551296
%MEM   RSS
85.6 2556096
%MEM   RSS
85.2 2544392
%MEM   RSS
85.4 2548628
%MEM   RSS
84.9 2533344
%MEM   RSS
85.7 2557268
%MEM   RSS
85.7 2557244
%MEM   RSS
85.3 2545396
%MEM   RSS
85.4 2547760
%MEM   RSS
85.5 2552568
%MEM   RSS
86.0 2567856
%MEM   RSS
86.0 2565728
%MEM   RSS
85.8 2562464
%MEM   RSS
86.0 2568120
%MEM   RSS
86.0 2565860
%MEM   RSS
86.2 2574140
%MEM   RSS
86.1 2570788
%MEM   RSS
86.6 2583980
%MEM   RSS
86.6 2584860
%MEM   RSS
86.6 2584640
%MEM   RSS
86.7 2587156
%MEM   RSS
86.5 2583264
%MEM   RSS
86.4 2578044
%MEM   RSS
85.8 2561592
%MEM   RSS
86.1 2571428
%MEM   RSS
85.8 2561076
%MEM   RSS
85.7 2557216
%MEM   RSS
86.0 2568356
%MEM   RSS
85.9 2564784
%MEM   RSS
85.8 2561444
%MEM   RSS
85.8 2560360
%MEM   RSS
86.2 2572632
%MEM   RSS
86.0 2568444
%MEM   RSS
86.2 2571836
%MEM   RSS
86.1 2568724
%MEM   RSS
86.2 2572928
%MEM   RSS
85.6 2553848
%MEM   RSS
84.7 2528988
%MEM   RSS
84.8 2532620
%MEM   RSS
85.7 2557400
%MEM   RSS
85.7 2556820
%MEM   RSS
85.5 2553092
%MEM   RSS
85.7 2556932
%MEM   RSS
85.6 2554948
%MEM   RSS
85.5 2552968
%MEM   RSS
85.4 2550264
%MEM   RSS
85.8 2559756
%MEM   RSS
85.6 2553992
%MEM   RSS
85.5 2552268
%MEM   RSS
85.6 2556160
%MEM   RSS
85.8 2562056
%MEM   RSS
85.7 2557992
%MEM   RSS
85.6 2556076
%MEM   RSS
86.0 2566252
%MEM   RSS
86.0 2567692
%MEM   RSS
85.8 2561540
%MEM   RSS
85.8 2560128
%MEM   RSS
86.1 2570924
%MEM   RSS
85.9 2563196
%MEM   RSS
86.1 2570088
%MEM   RSS
85.6 2553984
%MEM   RSS
85.8 2559576
%MEM   RSS
85.9 2564032
%MEM   RSS
85.8 2560292
%MEM   RSS
86.0 2567412
%MEM   RSS
86.0 2567888
%MEM   RSS
85.3 2546756
%MEM   RSS
85.8 2561264
%MEM   RSS
85.6 2555716
%MEM   RSS
85.5 2551568
%MEM   RSS
85.5 2551568
%MEM   RSS
85.5 2551568
%MEM   RSS
85.5 2551568
%MEM   RSS
85.9 2562636
%MEM   RSS
85.8 2560036
%MEM   RSS
85.7 2556916
%MEM   RSS
85.6 2553744
%MEM   RSS
85.4 2549296
%MEM   RSS
84.6 2525176
%MEM   RSS
85.4 2549328
%MEM   RSS
85.8 2560332
%MEM   RSS
85.4 2550460
%MEM   RSS
85.8 2562156
%MEM   RSS
85.4 2550320
%MEM   RSS
85.6 2553964
%MEM   RSS
85.5 2550688
%MEM   RSS
85.4 2548332
%MEM   RSS
85.7 2557940
%MEM   RSS
85.6 2555756
%MEM   RSS
85.6 2553760
%MEM   RSS
85.6 2553552
%MEM   RSS
85.5 2552252
%MEM   RSS
85.0 2536732
%MEM   RSS
85.8 2560472
%MEM   RSS
85.5 2552576
%MEM   RSS
85.4 2548156
%MEM   RSS
85.2 2543404
%MEM   RSS
85.9 2563832
%MEM   RSS
85.7 2557496
%MEM   RSS
85.4 2548728
%MEM   RSS
85.2 2542052
%MEM   RSS
86.0 2566124
%MEM   RSS
85.8 2560872
%MEM   RSS
85.6 2553852
%MEM   RSS
85.7 2559276
%MEM   RSS
85.9 2564492
%MEM   RSS
85.8 2560820
%MEM   RSS
85.9 2563260
%MEM   RSS
86.0 2567216
%MEM   RSS
85.8 2561232
%MEM   RSS
85.4 2549156
%MEM   RSS
85.4 2547960
%MEM   RSS
85.2 2542612
%MEM   RSS
85.6 2554432
%MEM   RSS
85.4 2549352
%MEM   RSS
85.7 2557088
%MEM   RSS
86.0 2568232
%MEM   RSS
85.6 2554380
%MEM   RSS
85.4 2549852
%MEM   RSS
85.8 2562328
%MEM   RSS
85.4 2547668
%MEM   RSS
85.7 2557808
%MEM   RSS
86.0 2566948
%MEM   RSS
85.8 2560088
%MEM   RSS
85.6 2555440
%MEM   RSS
85.9 2563548
%MEM   RSS
85.8 2560644
%MEM   RSS
85.7 2556940
%MEM   RSS
85.6 2554568
%MEM   RSS
86.0 2566244
%MEM   RSS
85.8 2560016
%MEM   RSS
85.9 2562632
%MEM   RSS
86.0 2568172
%MEM   RSS
86.1 2571336
%MEM   RSS
85.6 2554628
%MEM   RSS
86.0 2565880
%MEM   RSS
86.0 2566384
%MEM   RSS
85.4 2548844
%MEM   RSS
85.5 2551196
%MEM   RSS
85.7 2559384
%MEM   RSS
85.7 2557992
%MEM   RSS
85.8 2561452
%MEM   RSS
85.7 2558532
%MEM   RSS
85.5 2552252
%MEM   RSS
85.4 2548740
%MEM   RSS
85.5 2551240
%MEM   RSS
85.6 2553904
%MEM   RSS
85.2 2541960
%MEM   RSS
85.5 2552888
%MEM   RSS
85.3 2547392
%MEM   RSS
85.2 2543732
%MEM   RSS
85.3 2546932
%MEM   RSS
85.3 2545540
%MEM   RSS
85.2 2542060
%MEM   RSS
84.9 2534800
%MEM   RSS
85.3 2545224
%MEM   RSS
85.0 2536476
%MEM   RSS
84.7 2526792
%MEM   RSS
84.4 2520052
%MEM   RSS
84.8 2532408
%MEM   RSS
84.5 2521728
%MEM   RSS
84.7 2529368
%MEM   RSS
84.7 2526820
%MEM   RSS
84.8 2532032
%MEM   RSS
84.6 2526408
%MEM   RSS
85.0 2538344
%MEM   RSS
84.6 2524772
%MEM   RSS
85.1 2540936
%MEM   RSS
84.7 2527916
%MEM   RSS
