%MEM   RSS
52.0 4242032
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241896
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241492
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241452
%MEM   RSS
52.0 4241868
%MEM   RSS
52.0 4241528
%MEM   RSS
52.0 4241776
%MEM   RSS
52.0 4241520
%MEM   RSS
52.0 4241480
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241476
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241808
%MEM   RSS
52.0 4241516
%MEM   RSS
52.0 4241616
%MEM   RSS
52.0 4241988
%MEM   RSS
52.0 4241520
%MEM   RSS
52.0 4241896
%MEM   RSS
52.0 4241648
%MEM   RSS
52.0 4241628
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241772
%MEM   RSS
52.1 4242144
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241864
%MEM   RSS
52.0 4241816
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241892
%MEM   RSS
52.0 4241968
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241956
%MEM   RSS
52.0 4241860
%MEM   RSS
52.0 4241948
%MEM   RSS
52.0 4241648
%MEM   RSS
52.0 4241524
%MEM   RSS
52.1 4242128
%MEM   RSS
52.0 4241840
%MEM   RSS
52.0 4241564
%MEM   RSS
52.0 4241700
%MEM   RSS
52.0 4241944
%MEM   RSS
52.0 4241888
%MEM   RSS
52.0 4241912
%MEM   RSS
52.0 4241848
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4241868
%MEM   RSS
52.0 4241968
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241764
%MEM   RSS
52.0 4241840
%MEM   RSS
52.0 4241812
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241832
%MEM   RSS
52.0 4241348
%MEM   RSS
52.0 4241600
%MEM   RSS
52.0 4242000
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241728
%MEM   RSS
52.0 4241588
%MEM   RSS
52.0 4241616
%MEM   RSS
52.0 4241732
%MEM   RSS
52.0 4241644
%MEM   RSS
52.0 4241888
%MEM   RSS
52.0 4241864
%MEM   RSS
52.0 4241948
%MEM   RSS
52.0 4241756
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241204
%MEM   RSS
52.0 4241664
%MEM   RSS
52.0 4241292
%MEM   RSS
52.0 4241612
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241772
%MEM   RSS
52.0 4241420
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241648
%MEM   RSS
52.0 4241512
%MEM   RSS
52.0 4241668
%MEM   RSS
52.0 4241852
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4242032
%MEM   RSS
52.0 4241544
%MEM   RSS
52.0 4241936
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4241884
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241760
%MEM   RSS
52.1 4242228
%MEM   RSS
52.0 4241816
%MEM   RSS
52.0 4241820
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241832
%MEM   RSS
52.0 4241812
%MEM   RSS
52.0 4241944
%MEM   RSS
52.0 4241652
%MEM   RSS
52.1 4242104
%MEM   RSS
52.0 4241924
%MEM   RSS
52.0 4241772
%MEM   RSS
52.0 4241912
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241820
%MEM   RSS
52.0 4242036
%MEM   RSS
52.0 4241460
%MEM   RSS
52.0 4241640
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241376
%MEM   RSS
52.1 4242136
%MEM   RSS
52.0 4241872
%MEM   RSS
52.0 4242016
%MEM   RSS
52.1 4242192
%MEM   RSS
52.0 4241688
%MEM   RSS
52.0 4241988
%MEM   RSS
52.0 4241468
%MEM   RSS
52.0 4241436
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241616
%MEM   RSS
52.1 4242092
%MEM   RSS
52.0 4241564
%MEM   RSS
52.0 4241960
%MEM   RSS
