%MEM   RSS
%MEM   RSS
81.9 2443836
%MEM   RSS
81.8 2441052
%MEM   RSS
81.7 2437576
%MEM   RSS
81.1 2421632
%MEM   RSS
81.5 2431884
%MEM   RSS
81.4 2429356
%MEM   RSS
81.3 2426100
%MEM   RSS
81.3 2426916
%MEM   RSS
81.6 2435992
%MEM   RSS
81.5 2433316
%MEM   RSS
81.4 2429848
%MEM   RSS
81.3 2426492
%MEM   RSS
81.6 2436588
%MEM   RSS
81.5 2433564
%MEM   RSS
81.4 2430564
%MEM   RSS
81.3 2427872
%MEM   RSS
81.7 2438012
%MEM   RSS
81.2 2423200
%MEM   RSS
81.5 2433296
%MEM   RSS
81.4 2429600
%MEM   RSS
81.3 2427404
%MEM   RSS
81.7 2437552
%MEM   RSS
81.5 2434036
%MEM   RSS
81.4 2430860
%MEM   RSS
81.3 2426724
%MEM   RSS
81.3 2425640
%MEM   RSS
81.6 2436540
%MEM   RSS
81.5 2434116
%MEM   RSS
81.7 2438096
%MEM   RSS
81.5 2433692
%MEM   RSS
81.4 2430192
%MEM   RSS
81.8 2440740
%MEM   RSS
81.7 2437700
%MEM   RSS
81.6 2435684
%MEM   RSS
81.2 2422792
%MEM   RSS
81.5 2432372
%MEM   RSS
81.4 2428748
%MEM   RSS
81.7 2439612
%MEM   RSS
81.6 2436908
%MEM   RSS
81.6 2434584
%MEM   RSS
81.5 2433376
%MEM   RSS
81.5 2431472
%MEM   RSS
81.8 2441056
%MEM   RSS
81.7 2438192
%MEM   RSS
81.6 2434448
%MEM   RSS
81.9 2444440
%MEM   RSS
81.8 2442228
%MEM   RSS
81.7 2437856
%MEM   RSS
81.9 2445100
%MEM   RSS
81.8 2442324
%MEM   RSS
81.7 2437528
%MEM   RSS
81.6 2434724
%MEM   RSS
81.9 2445196
%MEM   RSS
81.8 2442016
%MEM   RSS
81.6 2437048
%MEM   RSS
82.0 2447064
%MEM   RSS
81.9 2444320
%MEM   RSS
81.7 2440004
%MEM   RSS
82.0 2448440
%MEM   RSS
81.8 2441048
%MEM   RSS
81.6 2436976
%MEM   RSS
81.9 2445832
%MEM   RSS
81.7 2439632
%MEM   RSS
82.1 2449632
%MEM   RSS
82.0 2446340
%MEM   RSS
81.8 2441548
%MEM   RSS
82.0 2448152
%MEM   RSS
82.0 2448240
%MEM   RSS
81.9 2444592
%MEM   RSS
82.0 2447168
%MEM   RSS
81.5 2433436
%MEM   RSS
81.9 2444264
%MEM   RSS
81.8 2441616
%MEM   RSS
82.1 2451420
%MEM   RSS
82.0 2446948
%MEM   RSS
81.9 2443880
%MEM   RSS
81.7 2439140
%MEM   RSS
82.1 2449268
%MEM   RSS
81.9 2445512
%MEM   RSS
81.9 2443644
%MEM   RSS
81.8 2442040
%MEM   RSS
82.1 2449572
%MEM   RSS
81.9 2446116
%MEM   RSS
81.9 2443396
%MEM   RSS
81.7 2439700
%MEM   RSS
82.0 2449008
%MEM   RSS
82.0 2447304
%MEM   RSS
81.9 2444100
%MEM   RSS
82.2 2453304
%MEM   RSS
82.1 2449448
%MEM   RSS
81.9 2445768
%MEM   RSS
81.9 2443548
%MEM   RSS
82.2 2453100
%MEM   RSS
82.1 2449436
%MEM   RSS
81.9 2445732
%MEM   RSS
81.8 2442692
%MEM   RSS
82.2 2453008
%MEM   RSS
81.6 2434732
%MEM   RSS
81.5 2432472
%MEM   RSS
81.3 2428024
%MEM   RSS
81.2 2424284
%MEM   RSS
81.1 2421248
%MEM   RSS
81.0 2417088
%MEM   RSS
81.3 2426920
%MEM   RSS
81.2 2423112
%MEM   RSS
81.0 2417764
%MEM   RSS
81.1 2420316
%MEM   RSS
81.0 2417040
%MEM   RSS
81.0 2417012
%MEM   RSS
81.0 2417424
%MEM   RSS
81.0 2417192
%MEM   RSS
81.0 2417100
%MEM   RSS
